内容,视频标题,视频发布时间,时长,平均观看百分比 (%),感兴趣的观看次数,新观看者人数,回访观看者人数,观看次数,观看时长（小时）,订阅人数,估算收入 (USD),平均观看时长,展示次数,展示点击率 (%)
bzD4-XQ7UOc,「氧氣悅汁+功法21天調理營 」Day 3【悅汁】水脉悦汁（3）羽衣甘蓝+香蕉+黑芝麻,"Sep 14, 2025",612,25.66,25,4,13,25,1.0907,0,0.059,0:02:37,283,5.3
yF-3UdpbGcE,感恩節快樂！「氧氣悅汁+功法21天調理營 」Day10：【功法】感恩冥想 & 爱的曼陀罗唱诵 ｜Gratitude Meditation and Mandala Chanting of Love,"Nov 27, 2025",1585,21.87,11,0,8,11,1.0594,0,0.07,0:05:46,251,3.19
Xz8DZm27-8A,Live streaming of 楊淇-五行經絡瑜伽,"Oct 1, 2025",8283,9.18,5,1,3,5,1.0557,0,,0:12:40,99,3.03
8B-2Qefxccc,展望2026 ｜楊淇-五行經絡瑜伽,"Jan 13, 2026",253,26.54,50,19,25,50,0.9327,1,0.165,0:01:07,1098,4.01
iNcG0G3wHq0,「氧氣悅汁+功法21天調理營 」Day7：【功法】解郁排毒呼吸法 & 解郁排毒功,"Oct 21, 2025",727,24.17,18,1,10,18,0.8786,0,0.029,0:02:55,307,3.26
TDYf3xtBWQQ,我是我自己 ｜楊淇－#五行經絡瑜伽,"Jan 21, 2026",286,34.78,28,7,17,28,0.7736,0,0.108,0:01:39,682,3.23
iy3l7FBj6zk,聖光調息｜楊淇-#五行經絡瑜伽,"Feb 1, 2026",351,41.42,19,3,12,19,0.7673,0,0.025,0:02:25,318,5.35
CACoEENXxgY,「氧氣悅汁+功法21天調理營 」Day16：【悦汁】土脉悦汁（4）菜心 + 芒果 + 奇亚籽,"Jan 28, 2026",351,26.77,24,4,15,24,0.6264,0,0.116,0:01:33,551,3.99
h_VkrwZiRX8,五行经络瑜伽五大板塊介绍 ｜Introduction to the Five Core Modules of Sino Yoga,"Jul 18, 2025",406,42.92,12,3,7,12,0.5809,0,,0:02:54,95,6.32
I4PtBpNGMok,水火相濟，自由舞動｜楊淇-#五行經絡瑜伽,"Feb 2, 2026",349,19.78,28,7,8,28,0.5369,0,,0:01:09,631,3.96
l1OUPbv8ILs,「氧氣悅汁+功法21天調理營 」  Day6：【悦汁】木脉悦汁（2）菠菜+橙子+花生,"Oct 12, 2025",394,29.74,16,0,6,16,0.5208,0,0.019,0:01:57,237,4.22
1wwA9J2zvT4,「氧氣悅汁+功法21天調理營 」Day12：【悦汁】火脉悦汁（4）苦瓜 + 紫葡萄 + 枸杞,"Dec 30, 2025",486,19.54,18,2,10,18,0.4747,0,0.044,0:01:34,422,3.32
1cG7V-QmmzQ,五行經絡瑜伽學生們療癒的故事！｜Healing through Sino Yoga.,"Jul 19, 2025",391,30.15,12,1,11,12,0.393,0,,0:01:57,162,7.41
wcxeygjd8LY,“楊淇-五行經絡瑜伽”正在直播！（9/23）,"Sep 24, 2025",10760,1.98,6,2,4,6,0.3545,0,0.032,0:03:32,109,4.59
b5KbGj8cAQA,「氧氣悅汁+功法21天調理營 」Day11：【悦汁】火脉悦汁（3）甜菜根+火龙果+杏仁,"Dec 10, 2025",463,38.3,7,0,5,7,0.3448,0,0.004,0:02:57,265,0.75
vKHYQTIe08o,我和五行經絡瑜伽的故事｜My Story with Sino Yoga.,"Jul 18, 2025",263,61.82,6,2,3,6,0.271,0,,0:02:42,60,8.33
nOt_0YYgh34,「氧氣悅汁+功法21天調理營 」Day8：【悦汁】木脉悦汁（4）绿芦笋 + 猕猴桃 + 核桃仁,"Oct 30, 2025",428,26.24,8,0,6,8,0.2496,0,0.029,0:01:52,231,2.16
ex0LR9-9ya4,杨淇-#五行经络瑜伽烛光🕯️脉轮冥想        汇聚全球女性的浪漫烛光盛宴….希望这场爱和感恩的缘分最终唤醒更多女性的觉醒。杨淇老师百字明咒清唱充满力量。,"Jul 20, 2025",60,42.94,32,7,20,44,0.2334,0,0.005,0:00:25,560,3.75
NBi9AVvlQEI,五行經絡瑜伽2025首屆感恩年會 - 楊老師解析五大板塊,"Aug 18, 2025",515,18.96,8,0,8,8,0.217,0,0.017,0:01:37,222,3.6
V7Gg27fy-JE,五運六氣｜楊淇-五行經絡瑜伽,"Jan 4, 2026",100,38.37,19,4,14,32,0.2069,1,0.001,0:00:38,491,2.85
knxSBKcVwa0,24節氣生命覺醒瑜伽 ｜楊淇-五行經絡瑜伽,"Jan 4, 2026",137,21.59,23,5,16,31,0.1921,0,0.003,0:00:29,463,2.81
Cq5-JCn_ShE,五行經絡瑜伽2025首屆感恩年會开幕仪式 - 楊淇老師唱誦《海的女兒》,"Aug 16, 2025",215,39.34,8,3,5,8,0.188,0,0.054,0:01:24,174,2.3
U2uOSyJdChM,「氧氣悅汁+功法21天調理營 」 Day7：【悦汁】木脉悦汁（3）芹菜+猕猴桃+核桃仁,"Oct 21, 2025",517,18.08,7,0,4,7,0.1818,0,0.013,0:01:33,233,2.15
kTgvR7oTnhk,「五行經絡瑜伽」感恩2025年所有的陪伴者和見證者，2026我們繼續朝著光而行！,"Jan 3, 2026",315,14.85,13,0,10,13,0.1689,0,0.024,0:00:46,471,2.12
OG5i3Kx1J2g,「氧氣悅汁+功法21天調理營 」Day9：【悦汁】火脉悦汁（1）紫甘蓝 + 紫葡萄 + 杏仁,"Nov 13, 2025",623,10.15,6,0,5,6,0.1054,0,0.01,0:01:03,251,1.2
eBjsvXpBSBU,五行經絡瑜伽 - 痛苦終將變成我們快樂的源泉！,"Aug 27, 2025",284,21.09,6,0,5,6,0.0998,0,0.046,0:00:59,304,1.64
Kn8-gQjtOa4,「氧氣悅汁+功法21天調理營 」Day10：【悦汁】火脉悦汁（2）西红柿 + 火龙果 + 腰果,"Nov 27, 2025",464,7.32,10,1,8,10,0.0943,0,0.009,0:00:33,258,1.94
p8J9bJyeJ4Y,五行經絡瑜伽2025首屆感恩年會开幕仪式 - 中國式瑜伽崛起 | The Rise of Chinese Yoga,"Aug 10, 2025",377,11.87,6,2,3,6,0.0746,0,0.017,0:00:44,165,1.82
X67p2s3KTts,楊淇老師自有服裝品牌 OFLOW品牌故事｜The Story of OFLOW,"Aug 22, 2025",559,38.98,1,0,1,1,0.0605,0,0.006,0:03:37,289,0.35
e5Qs3hQmBJU,2025五行經絡瑜伽首屆年會花絮 - 会场搭建,"Jul 21, 2025",41,62.67,2,0,2,2,0.0143,0,,0:00:25,137,0.73
21e-Nx3pKEM,五行經絡瑜伽2025首屆感恩年會精彩瞬間 ｜ 2025 Sino Yoga Annual Gala Highlights,"Jul 22, 2025",67,45.22,1,1,0,1,0.0084,0,,0:00:30,155,0.65
efBhKZJk4-M,Live streaming of 楊淇-五行經絡瑜伽,"Oct 1, 2025",70,11.13,3,2,1,3,0.0065,0,,0:00:07,43,2.33
